apple,1.28781e+08,1.67359e+13,1.48764e+18,3.61189e+17,2.25203e+35,1.33615e+24,1.39214e+35
apple,1.47155e+08,1.46552e+14,2.57305e+18,1.42581e+17,7.96543e+34,-6.67799e+23,3.33667e+34
apple,2.30407e+08,1.02496e+14,8.15534e+18,6.0939e+17,1.04114e+36,-2.83156e+24,8.7269e+35
apple,2.01924e+08,2.7385e+14,1.03359e+19,4.8328e+17,6.38205e+35,7.99529e+24,8.7141e+35
apple,2.04663e+08,5.98137e+14,1.30464e+18,1.38992e+17,-3.03423e+34,8.5314e+23,5.08185e+34
apple,1.29532e+08,2.81635e+12,8.35809e+17,1.29792e+17,3.57633e+34,2.15557e+23,2.34188e+34
apple,1.40871e+08,8.45232e+13,1.18672e+18,2.04793e+17,8.98982e+34,1.70414e+24,4.59466e+34
apple,1.90867e+08,2.72859e+13,5.77303e+17,1.88996e+17,1.7487e+34,-7.43151e+23,5.99288e+34
apple,2.17729e+08,2.53919e+14,1.73499e+19,1.71544e+18,9.12721e+36,1.43689e+25,2.06835e+36
apple,4.69197e+07,3.28366e+13,1.94309e+17,4.23849e+16,3.88497e+32,-1.5538e+23,3.82681e+33
apple,2.01635e+08,7.90275e+13,1.43654e+19,1.76292e+18,5.83386e+36,-5.70466e+24,6.68376e+36
apple,1.79883e+08,1.90634e+14,1.33395e+18,1.05266e+17,-1.40442e+34,4.42349e+23,3.68607e+34
apple,1.64566e+08,3.30766e+13,3.33532e+18,4.04992e+17,3.8243e+35,-1.40514e+24,2.7441e+35
apple,1.58018e+08,7.36866e+14,9.92917e+17,9.84434e+16,-2.31597e+34,-1.10756e+24,2.02705e+34
apple,1.34652e+08,5.25959e+13,2.11319e+18,1.43513e+17,-7.24226e+34,1.24322e+23,3.16413e+34
bat,1.6616e+09,1.38475e+18,8.46137e+22,1.50953e+22,2.47268e+44,3.74606e+29,4.79489e+44
bat,2.51396e+09,2.72277e+18,1.02193e+23,9.79812e+21,-1.66773e+43,-4.79894e+30,-3.09596e+44
